date,received,sent,allDayReceived,allDaySent
 2016-2-20,0,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-2-21,72,70,0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-6-0-0-2-2-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-10-0-0-0-0-0-0
 2016-2-22,78,118,0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-34-36-4-0-0-2-0,0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-72-40-0-0-0-4-0
 2016-2-23,82,170,0-0-0-0-0-0-0-0-0-0-0-50-0-4-0-0-4-0-0-2-0-16-0,0-0-0-0-0-0-0-0-32-0-0-80-0-2-0-0-2-0-0-2-0-36-0
 2016-2-24,74,134,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52-16-4-0,2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-80-52-0-0
 2016-2-25,24,26,0-14-0-0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-2-0-0-0,0-14-2-0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-2-0-0-0-0
 2016-2-26,62,92,0-0-0-0-0-0-0-0-0-6-26-0-2-4-0-0-0-4-6-4-10-0-0,0-0-0-0-0-0-0-0-0-2-30-0-26-0-0-0-0-0-16-0-12-2-0
 2016-2-27,206,252,0-0-0-0-0-0-0-0-0-0-0-2-2-36-0-0-50-6-44-10-36-0-0,0-0-0-0-0-0-0-0-0-0-0-4-4-28-2-2-82-26-32-22-22-6-0
 2016-2-28,112,118,0-0-0-0-0-0-0-0-0-0-0-18-0-0-16-8-2-36-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-8-10-2-16-6-0-56-0-0-0-0-0
 2016-2-29,120,202,0-0-0-0-0-0-0-0-0-0-8-18-46-0-0-0-8-4-2-28-0-6-0,0-0-0-0-0-0-0-0-0-0-22-22-82-0-0-0-12-0-2-52-0-6-0
